index,label,pred,score,logit,text similarity,text_score,text_logit,image_score,image_logit
0,1,1,0.9814873,3.9706106,0.9771114587783813,0.9814873,3.9706137,0.9916413,4.7760572
1,0,0,0.11580228,-2.0327964,0.9953498244285583,0.11580228,-2.0327964,0.9595138,3.1654649
2,0,0,0.080252096,-2.4389267,0.9454305768013,0.080252096,-2.4389267,0.96483386,3.3118725
3,0,1,0.68680143,0.78520787,1.0,0.68680143,0.78520787,0.96006376,3.1797144
4,1,1,0.99193406,4.8120065,1.0000001192092896,0.9972984,5.9112062,0.99193406,4.812006
5,1,1,0.99628484,5.5916123,0.9854587316513062,0.99628484,5.591632,0.996626,5.688278
6,1,1,0.70082533,0.85123116,0.9346902370452881,0.70082533,0.8512312,0.99803203,6.2287745
7,0,0,0.07021364,-2.5834124,0.996971607208252,0.07021364,-2.5834122,0.98953176,4.548889
8,1,1,0.9589783,3.151767,1.0000001192092896,0.9956923,5.4430313,0.9589783,3.1517673
9,1,1,0.67298603,0.7217217,1.000000238418579,0.9956797,5.4401007,0.67298603,0.72172177
10,1,1,0.982037,4.0013156,0.987754225730896,0.982037,4.0013137,0.99753284,6.0022073
11,1,1,0.97912097,3.84791,0.9871596693992615,0.97912097,3.8479104,0.9988306,6.750101
12,1,1,0.71904886,0.93974847,0.9824252128601074,0.71904886,0.9397485,0.99337596,5.0104094
13,1,1,0.97762364,3.7771199,0.9931479692459106,0.97762364,3.7771182,0.99530846,5.357293
14,1,1,0.98378354,4.105379,1.0000001192092896,0.9908366,4.683339,0.98378354,4.10538
15,1,1,0.9891509,4.512763,1.0000001192092896,0.9941644,5.137916,0.9891509,4.5127645
16,1,1,0.98888844,4.488596,0.9811044335365295,0.98888844,4.488591,0.99826896,6.3573284
17,1,1,0.91167617,2.334275,0.9989813566207886,0.91167617,2.3342752,0.9883853,4.4437995
18,1,1,0.9479795,2.9026952,0.9789825677871704,0.9479795,2.9026942,0.9960984,5.5424767
19,1,1,0.9745496,3.6452436,0.9775775074958801,0.9745496,3.6452413,0.99748117,5.98144
20,0,0,0.42897335,-0.2860411,0.972000777721405,0.42897335,-0.28604114,0.94338155,2.813136
21,0,0,0.12329588,-1.9615825,0.9977203011512756,0.12329588,-1.9615825,0.98967373,4.562687
22,1,1,0.99331725,5.00152,0.9905165433883667,0.99331725,5.0015163,0.99548775,5.3964386
