index,label,pred,score,logit
0,1,0,1.7636734e-05,-10.945509
1,0,1,0.99997103,10.449587
2,0,1,0.9999726,10.503794
3,0,1,0.999979,10.770679
4,1,0,1.8798442e-05,-10.881718
5,1,0,2.5815727e-05,-10.564501
6,1,0,1.2093756e-05,-11.322809
7,0,1,0.99995005,9.903473
8,1,0,1.4897792e-05,-11.114283
9,1,0,1.3354264e-05,-11.223661
10,1,0,1.2525516e-05,-11.28773
11,1,0,1.4156921e-05,-11.165293
12,1,0,2.0272852e-05,-10.806208
13,1,0,1.1332365e-05,-11.387836
14,1,0,2.0417614e-05,-10.799092
15,1,0,1.2990208e-05,-11.251302
16,1,0,1.0826848e-05,-11.433471
17,1,0,1.7365528e-05,-10.961006
18,1,0,9.059542e-06,-11.611683
19,1,0,2.224389e-05,-10.713421
20,0,1,0.99996734,10.33013
21,0,1,0.9999739,10.551323
22,1,0,2.2035712e-05,-10.722824
23,1,0,1.1042556e-05,-11.413743
24,1,0,8.023631e-06,-11.733111
25,1,0,1.2332351e-05,-11.303272
26,0,1,0.9999497,9.896589
27,1,0,1.3565983e-05,-11.2079315
28,1,0,1.53665e-05,-11.083305
29,1,0,2.0479994e-05,-10.7960415
30,1,0,3.377843e-05,-10.295654
31,1,0,1.1546376e-05,-11.369127
32,0,1,0.9999522,9.949316
33,1,0,1.6967111e-05,-10.984217
34,1,0,1.4596973e-05,-11.134682
35,1,0,1.0241036e-05,-11.489098
36,1,0,2.7189839e-05,-10.51264
37,1,0,1.6314696e-05,-11.023428
38,1,0,1.4983068e-05,-11.108575
39,1,0,2.9941733e-05,-10.416227
40,1,0,1.5831101e-05,-11.053518
41,1,0,1.0479213e-05,-11.466106
42,1,0,2.3656119e-05,-10.651865
43,1,0,1.7458648e-05,-10.955658
44,1,0,9.15199e-06,-11.60153
45,1,0,1.8413315e-05,-10.902418
46,1,0,1.2017806e-05,-11.329109
47,1,0,1.4511308e-05,-11.140568
48,0,1,0.99996614,10.291889
49,1,0,1.4562005e-05,-11.13708
50,0,1,0.9999609,10.14997
51,1,0,1.8816523e-05,-10.880756
52,1,0,8.689362e-06,-11.653402
53,1,0,2.1615346e-05,-10.742085
54,1,0,1.5216096e-05,-11.093142
55,1,0,2.062834e-05,-10.788824
56,1,0,4.172252e-05,-10.084428
57,1,0,1.4880697e-05,-11.115431
58,1,0,1.3558185e-05,-11.208507
59,1,0,8.518509e-06,-11.673261
60,1,0,1.7340339e-05,-10.962458
61,1,0,1.8345308e-05,-10.906118
62,0,1,0.9999453,9.812782
63,1,0,7.674372e-06,-11.7776165
64,1,0,1.6822429e-05,-10.992781
65,1,0,2.135784e-05,-10.75407
66,0,1,0.99997044,10.42938
67,0,1,0.99997807,10.729034
68,1,0,1.30040025e-05,-11.25024
69,1,0,3.027419e-05,-10.405185
70,1,0,1.4287398e-05,-11.156118
71,1,0,4.2483072e-05,-10.066362
72,1,0,1.1622296e-05,-11.362574
73,1,0,1.9471901e-05,-10.8465185
74,1,0,1.843867e-05,-10.901042
75,1,0,2.4948762e-05,-10.598661
76,1,0,1.543188e-05,-11.07906
77,1,0,8.619144e-06,-11.661516
78,1,0,1.4152521e-05,-11.165604
79,1,0,1.1600758e-05,-11.3644285
80,0,1,0.99998033,10.834683
81,1,0,1.3728093e-05,-11.196053
82,1,0,2.3484592e-05,-10.6591425
83,1,0,9.48948e-06,-11.565317
84,1,0,1.4515225e-05,-11.140298
85,1,0,2.5020123e-05,-10.595805
86,1,0,1.8838498e-05,-10.879589
87,1,0,2.2829216e-05,-10.687447
88,1,0,2.7932412e-05,-10.485695
89,0,1,0.99996114,10.153979
90,1,0,1.5506837e-05,-11.074214
91,1,0,2.5435775e-05,-10.579329
92,1,0,1.0727063e-05,-11.44273
93,1,0,1.6156413e-05,-11.033177
94,0,1,0.9999676,10.337369
95,1,0,2.2634804e-05,-10.695999
96,1,0,2.637494e-05,-10.54307
97,1,0,1.2982047e-05,-11.25193
98,1,0,1.0682104e-05,-11.44693
99,1,0,2.1637226e-05,-10.741074
100,1,0,1.0708063e-05,-11.444503
101,1,0,1.1023922e-05,-11.415432
102,1,0,1.2101993e-05,-11.322128
103,1,0,2.046473e-05,-10.796787
104,1,0,1.528614e-05,-11.088549
105,1,0,2.620578e-05,-10.549504
