index,label,pred,score,logit,text similarity,text_score,text_logit,image_score,image_logit
0,1,1,0.999985,11.106089,0.9941585659980774,0.999985,11.104908,0.9990976,7.009567
1,0,1,0.9993451,7.330409,1.0,0.00030140096,-8.106768,0.9993451,7.330355
2,0,1,0.99966407,7.9982667,1.0,6.9960704e-05,-9.567507,0.99966407,7.9983487
3,0,1,0.99839276,6.4316287,1.0,0.36138728,-0.569348,0.99839276,6.431675
4,1,1,0.99998844,11.367662,0.9935150742530823,0.99998844,11.37086,0.9995926,7.805416
5,1,1,0.99999,11.511559,0.995177686214447,0.99999,11.5123825,0.9997923,8.479017
6,1,1,0.9990551,6.963473,0.9930548071861267,0.9990551,6.963482,0.9983948,6.432908
7,0,1,0.99661344,5.6845493,1.0,0.00058021804,-7.451526,0.99661344,5.6845474
8,1,1,0.99997556,10.61935,0.9957797527313232,0.99997556,10.617899,0.39164045,-0.44042176
9,1,1,0.999979,10.77188,0.9978293776512146,0.999979,10.77469,0.96670693,3.3685474
10,1,1,0.9994511,7.5070467,0.9903755784034729,0.9992052,7.1366286,0.9994511,7.50706
11,1,1,0.9999256,9.506161,0.9971902966499329,0.9999256,9.50606,0.99977213,8.3865595
12,1,1,0.99968994,8.0784235,1.0000001192092896,0.9995616,7.7318993,0.99968994,8.078186
13,1,1,0.99953914,7.6819487,1.0,0.99910885,7.022173,0.99953914,7.681772
14,1,1,0.9999685,10.366405,0.9998809695243835,0.9999685,10.364861,0.9775289,3.7728
15,1,1,0.9999385,9.696217,0.9981630444526672,0.9999385,9.696018,0.99933225,7.310974
16,1,1,0.9999937,11.972087,0.997992753982544,0.9999937,11.969061,0.9995944,7.809602
17,1,1,0.99969316,8.088861,0.998981237411499,0.99969316,8.088905,0.9975465,6.0077634
18,1,1,0.999926,9.51098,0.9976906180381775,0.999926,9.511385,0.99915135,7.070956
19,1,1,0.99997747,10.700616,0.9847155213356018,0.99997747,10.702786,0.9997731,8.390559
20,0,1,0.99350184,5.0297174,1.0,0.8986325,2.1821218,0.99350184,5.029718
21,0,1,0.9984158,6.446108,1.0,0.0002491622,-8.297157,0.9984158,6.4461374
22,1,1,0.9999925,11.799243,0.9898409247398376,0.9999925,11.799451,0.99940443,7.4253345
23,1,1,0.9999914,11.66571,0.9807950258255005,0.9999914,11.662931,0.9997085,8.140377
