index,label,pred,score,logit,ssim,text similarity,text_score,text_logit,image_score,image_logit
0,1,1,0.73699945,1.030431,0.9910137057304382,0.9899491667747498,0.9999875,11.28882,6.760219e-06,-11.9044485
1,0,1,0.6533712,0.633891,1.0,1.0,0.00022789398,-8.386402,0.9993492,7.3365555
2,0,1,0.6534821,0.6343806,1.0,1.0,7.032425e-05,-9.562324,0.9996656,8.00286
3,0,1,0.8697793,1.8990086,1.0,1.0,0.3280308,-0.71710503,0.99839205,6.4312363
4,1,1,0.73700446,1.0304568,0.9900647401809692,0.9984762668609619,0.99999213,11.751424,8.984001e-06,-11.620056
5,1,1,0.737005,1.0304596,0.9955412745475769,0.9942172765731812,0.99999166,11.693916,1.03624425e-05,-11.477312
6,1,1,0.73663735,1.0285637,0.9965450763702393,0.9977961182594299,0.9994998,7.6000433,1.24159715e-05,-11.2965145
7,0,1,0.65149045,0.6255971,1.0,1.0,0.0005273163,-7.5471826,0.9966286,5.6890383
8,1,1,0.7369921,1.0303931,0.9930778741836548,0.9972065091133118,0.9999778,10.71549,6.7474016e-06,-11.906346
9,1,1,0.73699474,1.0304067,0.9902044534683228,0.9987011551856995,0.99998164,10.903447,6.339549e-06,-11.968697
10,1,1,0.73672616,1.0290215,0.9907519221305847,0.9973430037498474,0.9996257,7.8900094,4.1385433e-06,-12.395163
11,1,1,0.7369651,1.0302539,0.9909769296646118,0.998987078666687,0.9999378,9.68464,1.1191148e-05,-11.400376
12,1,1,0.73509973,1.0206528,0.9910920858383179,0.9929019808769226,0.99746096,5.9734163,6.318749e-06,-11.971983
13,1,1,0.7353597,1.0219884,0.9914053082466125,0.9985254406929016,0.99780625,6.1199417,6.2098447e-06,-11.989368
14,1,1,0.7369881,1.0303726,0.9929953813552856,0.9962882995605469,0.99997294,10.518192,6.175491e-06,-11.994916
15,1,1,0.73697877,1.0303243,0.9946566224098206,0.9990452527999878,0.9999572,10.059808,9.908921e-06,-11.522065
16,1,1,0.73700887,1.0304797,0.9939242005348206,0.9997574090957642,0.9999943,12.073262,1.3294389e-05,-11.228155
17,1,1,0.7367848,1.0293239,0.9924910068511963,0.998981237411499,0.9997012,8.115396,6.9200105e-06,-11.881086
18,1,1,0.7369622,1.0302389,0.9949633479118347,0.9977531433105469,0.9999399,9.718978,4.4711237e-06,-12.317866
19,1,1,0.737,1.0304338,0.9915853142738342,0.9977914690971375,0.9999863,11.195613,8.880716e-06,-11.631619
20,0,1,0.9826164,4.0346932,1.0,1.0,0.88437927,2.0345707,0.9934643,5.0239115
21,0,1,0.65263015,0.63062054,1.0,1.0,0.00022938616,-8.379874,0.99840623,6.440074
22,1,1,0.73700356,1.0304523,0.9964206218719482,0.9929221272468567,0.9999939,12.009651,5.8410824e-06,-12.050589
23,1,1,0.7370067,1.0304686,0.9915992617607117,0.9952960014343262,0.99999416,12.049826,1.0155101e-05,-11.497524
24,1,1,0.7369151,1.0299959,0.9813141822814941,0.9951943755149841,0.99987614,8.996563,5.5070495e-06,-12.109476
25,1,1,0.73699796,1.0304233,0.993354856967926,0.9993269443511963,0.9999876,11.302366,4.395836e-06,-12.334848
26,0,1,0.6537255,0.6354557,0.9958842396736145,0.9999196529388428,9.3196926e-05,-9.280703,0.9999496,9.894534
27,1,1,0.7369951,1.0304086,0.990920901298523,0.992401659488678,0.9999807,10.852268,7.879547e-06,-11.751232
28,1,1,0.7369477,1.0301641,0.9920185208320618,0.9958834052085876,0.99991584,9.383085,9.758146e-06,-11.537398
29,1,1,0.7370038,1.0304536,0.9858487248420715,0.9880351424217224,0.999987,11.251309,1.381891e-05,-11.189459
30,1,1,0.7369959,1.0304126,0.9941816926002502,0.9843479990959167,0.9999819,10.9169445,7.735226e-06,-11.769718
31,1,1,0.72876024,0.9883417,0.9888693690299988,0.9991987943649292,0.9891115,4.509101,5.4922066e-06,-12.112175
32,0,1,0.9739256,3.6203806,1.0,1.0,0.9988644,6.779437,0.7467076,1.0811291
33,1,1,0.73698574,1.0303602,0.996347188949585,0.9999374151229858,0.9999702,10.421824,5.6755243e-06,-12.079342
