index,label,pred,score,logit,text similarity,text_score,text_logit,image_score,image_logit,hotflip_flips
0,1,1,0.9999261,9.512591,1.0000001192092896,0.99998784,11.314313,0.9983707,6.417986,0
1,0,0,0.36641678,-0.5476198,1.0,0.00030140154,-8.106766,0.99939823,7.4149556,0
2,0,0,0.3664257,-0.5475815,1.0,6.996064e-05,-9.567508,0.9996302,7.9021945,0
3,0,1,0.85740465,1.793899,1.0,0.36138758,-0.5693468,0.99839276,6.431672,0
4,1,1,0.9999261,9.512591,1.0000001192092896,0.9999924,11.784372,0.9995503,7.7064157,0
5,1,1,0.999926,9.51098,1.0,0.99999166,11.689812,0.9998078,8.556459,0
6,1,1,0.9999261,9.512591,1.0000001192092896,0.99955624,7.7198577,0.999263,7.212223,0
7,0,0,0.365151,-0.55307627,1.0,0.00058021833,-7.4515257,0.9962005,5.5690794,0
8,1,1,0.5511949,0.20549975,0.9999999403953552,0.99998236,10.942433,0.008730226,-4.7321954,0
9,1,1,0.9999262,9.514206,1.0,0.9999815,10.896214,0.994568,5.2099986,0
10,1,1,0.9999261,9.512591,1.0000001192092896,0.99967825,8.041411,0.9995902,7.799365,0
11,1,1,0.9999261,9.512591,1.0000001192092896,0.9999722,10.492346,0.9996953,8.095639,0
12,1,1,0.9999261,9.512591,1.0000001192092896,0.9995616,7.7318926,0.9997203,8.181674,0
13,1,1,0.9999262,9.514206,1.0,0.99910885,7.0221806,0.9995679,7.7465534,0
14,1,1,0.9999262,9.514206,1.000000238418579,0.99997604,10.637885,0.99490756,5.2748885,0
15,1,1,0.9999261,9.512591,1.0000001192092896,0.9999558,10.0248785,0.9992718,7.2241564,0
16,1,1,0.9999261,9.512591,1.000000238418579,0.9999945,12.118919,0.99967253,8.023675,0
17,1,1,0.9999261,9.512591,1.0,0.99984086,8.745662,0.9989568,6.8643904,0
18,1,1,0.9999261,9.512591,1.0,0.99994683,9.841739,0.9983516,6.406293,0
19,1,1,0.999926,9.51098,0.9999998807907104,0.99999,11.510277,0.9997925,8.480374,0
20,0,1,0.99990976,9.312932,1.0,0.8986311,2.1821067,0.99350184,5.0297174,0
21,0,0,0.3661048,-0.5489639,1.0000001192092896,0.00024916173,-8.297159,0.9987198,6.659478,0
22,1,1,0.9999261,9.512591,1.0,0.9999944,12.082846,0.99766445,6.057185,0
23,1,1,0.9999261,9.512591,1.0,0.99999523,12.25165,0.99961394,7.859125,0
24,1,1,0.9999262,9.514206,1.0,0.99993396,9.6253605,0.99698204,5.8001494,0
25,1,1,0.999858,8.8596945,0.9999998211860657,0.99999106,11.620619,0.8586067,1.8037652,0
26,0,0,0.0003820491,-7.8695793,1.0,8.3064806e-05,-9.395806,0.00036720393,-7.909226,0
27,1,1,0.9999262,9.514206,1.0,0.99998546,11.139532,0.9871918,4.344782,0
28,1,1,0.9999262,9.514206,1.0,0.99995613,10.033478,0.9957917,5.4664726,0
29,1,1,0.9999261,9.512591,1.0000001192092896,0.9999863,11.201134,0.9996131,7.856804,0
30,1,1,0.9999261,9.512591,1.0000001192092896,0.9999846,11.079694,0.999724,8.194979,0
31,1,1,0.9999273,9.528853,1.0,0.98740166,4.3615127,0.9981735,6.3035307,0
32,0,1,0.99940383,7.4243956,1.0,0.998694,6.639456,0.7437736,1.0656753,0
33,1,1,0.9999261,9.512591,1.0,0.9999758,10.628438,0.99935156,7.3402147,0
34,1,1,0.9999262,9.514206,1.0,0.99999225,11.771835,0.9891782,4.515315,0
35,1,1,0.9999262,9.514206,1.0000001192092896,0.99968195,8.053027,0.99508274,5.3100758,0
36,1,1,0.9999261,9.512591,1.0,0.9999492,9.887496,0.9978138,6.1234207,0
37,1,1,0.9999261,9.512591,1.0000001192092896,0.9999912,11.64504,0.9984195,6.448412,0
38,1,1,0.9999261,9.512591,1.0,0.9999926,11.812449,0.9995214,7.644144,0
39,1,1,0.9999261,9.512591,1.0000001192092896,0.99992716,9.52751,0.9995714,7.754519,0
40,1,1,0.9999261,9.512591,1.0000001192092896,0.99998486,11.098154,0.9991352,7.052167,0
41,1,1,0.69161224,0.8076675,0.9999998807907104,0.267588,-1.0068947,0.9991819,7.10773,0
42,1,1,0.9999261,9.512591,1.0000001192092896,0.999933,9.611216,0.99970967,8.144196,0
43,1,1,0.9999262,9.514206,1.0000001192092896,0.9998995,9.204877,0.99341077,5.015701,0
44,1,1,0.9999261,9.512591,1.0,0.99997306,10.519861,0.99860233,6.571545,0
45,1,1,0.93358195,2.64306,1.0,0.9999852,11.122445,0.42829046,-0.28882954,0
46,1,1,0.9999261,9.512591,1.0,0.9999815,10.898897,0.9981007,6.2643538,0
47,1,1,0.99992645,9.517443,1.0,0.99748373,5.982457,0.997004,5.807482,0
48,0,0,0.4001873,-0.4046847,1.0000001192092896,0.062837854,-2.7022986,0.9965411,5.663356,0
49,1,1,0.9999261,9.512591,0.9999999403953552,0.9999751,10.598863,0.99885225,6.768777,0
50,0,0,0.3593323,-0.5782633,1.0000001192092896,0.00014507817,-8.838093,0.9831512,4.0664835,0
51,1,0,0.44345483,-0.2271523,1.0,0.10987768,-2.0919912,0.99915004,7.0694823,0
52,1,1,0.9999261,9.512591,1.0,0.99998593,11.168291,0.9994777,7.5566554,0
53,1,1,0.9999261,9.512591,1.0000001192092896,0.9999933,11.913854,0.99790776,6.167403,0
54,1,1,0.9999262,9.514206,1.0000001192092896,0.99998784,11.320308,0.99296933,4.950423,0
55,1,1,0.9999262,9.514206,1.000000238418579,0.9993405,7.3233557,0.9988355,6.754259,0
56,1,1,0.9999261,9.512591,1.0000001192092896,0.99998975,11.482272,0.99781704,6.124894,0
57,1,1,0.9999261,9.512591,0.9999998211860657,0.99998033,10.839321,0.99892265,6.8322396,0
58,1,1,0.9999261,9.512591,1.0000001192092896,0.9999901,11.527977,0.9996815,8.051567,0
59,1,1,0.9999261,9.512591,1.0000001192092896,0.9999739,10.555075,0.99957925,7.772933,0
60,1,1,0.9999261,9.512591,0.9999999403953552,0.99995565,10.024468,0.9997894,8.465393,0
61,1,1,0.9999261,9.512591,1.0,0.99999523,12.253758,0.99833244,6.3947296,0
62,0,0,0.0003793482,-7.8766766,1.0000001192092896,0.007540351,-4.8799176,0.0018524297,-6.289403,0
63,1,1,0.9999261,9.512591,1.0000001192092896,0.9999882,11.34879,0.9977926,6.113743,0
64,1,1,0.58878505,0.35894513,1.0,0.9999664,10.299091,0.08951893,-2.319523,0
65,1,1,0.9999261,9.512591,1.0000001192092896,0.9999831,10.986337,0.99917275,7.096632,0
66,0,1,0.9999261,9.512591,1.0,0.9999745,10.577571,0.999688,8.07233,0
67,0,0,0.031524003,-3.4249744,1.0000001192092896,0.0011259688,-6.787985,0.46459877,-0.14184208,0
68,1,1,0.9999261,9.512591,1.0,0.99984384,8.764326,0.9993606,7.3544297,0
69,1,1,0.9999262,9.514206,1.0,0.99996233,10.187709,0.99095154,4.696068,0
70,1,1,0.9999261,9.512591,1.0,0.99997294,10.515877,0.9992735,7.2264624,0
71,1,1,0.9999261,9.512591,1.0000001192092896,0.9998752,8.98837,0.9994467,7.4990077,0
72,1,1,0.9999261,9.512591,1.0000001192092896,0.99997663,10.666799,0.99733967,5.9266562,0
73,1,1,0.9999262,9.514206,1.0000001192092896,0.99999344,11.937035,0.9883124,4.437475,0
74,1,1,0.9999261,9.512591,1.0000001192092896,0.9999492,9.888382,0.99974936,8.291258,0
75,1,1,0.9999261,9.512591,1.0000001192092896,0.9999832,10.996872,0.9985013,6.501611,0
76,1,0,0.00038393415,-7.8646555,1.0,0.015125584,-4.1761265,0.030410416,-3.4620876,0
77,1,1,0.9999261,9.512591,1.0,0.99997544,10.614116,0.99929225,7.252797,0
78,1,1,0.9999262,9.514206,1.0,0.9999912,11.634045,0.9878984,4.4022465,0
79,1,1,0.9999261,9.512591,0.9999999403953552,0.99997973,10.806519,0.99833244,6.3946843,0
80,0,1,0.99964094,7.9316664,1.0,0.7604907,1.1553718,0.9981725,6.30302,0
81,1,1,0.999926,9.51098,1.0,0.99999416,12.059826,0.9998171,8.606198,0
82,1,1,0.9999261,9.512591,1.0000001192092896,0.9999865,11.214443,0.9973834,5.943256,0
83,1,1,0.9999261,9.512591,0.9999999403953552,0.9998989,9.200091,0.99937314,7.3741097,0
84,1,1,0.9999261,9.512591,1.0,0.9999682,10.355906,0.99868816,6.6349964,0
85,1,1,0.9999261,9.512591,0.9999998807907104,0.9999795,10.795906,0.9995134,7.6276245,0
86,1,1,0.9999261,9.512591,1.0,0.9999838,11.030732,0.9974565,5.9716783,0
87,1,1,0.9999261,9.512591,1.0,0.9999025,9.235109,0.99957913,7.7728467,0
88,1,1,0.9999261,9.512591,1.0000001192092896,0.99998915,11.433427,0.9994721,7.546104,0
89,0,0,0.004702579,-5.3549304,1.0,0.0043083895,-5.4428735,0.31390756,-0.7819138,0
90,1,1,0.9999261,9.512591,0.9999998807907104,0.9999751,10.601036,0.99923277,7.171934,0
91,1,1,0.9999261,9.512591,1.0000001192092896,0.9999485,9.874026,0.9991923,7.1205497,0
92,1,1,0.99991906,9.421683,1.0000001192092896,0.9999591,10.104996,0.942026,2.7880397,0
93,1,1,0.9999262,9.514206,1.0000001192092896,0.9999931,11.88427,0.99597895,5.512185,0
94,0,0,0.34746537,-0.6301992,0.9999998807907104,5.3217595e-05,-9.841068,0.9563559,3.0870624,0
95,1,1,0.5616933,0.24803711,1.0,0.99994886,9.880779,0.036680028,-3.2681532,0
96,1,1,0.999926,9.51098,1.0000001192092896,0.99998105,10.8704605,0.98171383,3.9831505,0
97,1,1,0.9999261,9.512591,1.0000001192092896,0.99998474,11.093789,0.9990312,6.938459,0
98,1,1,0.9999261,9.512591,1.0,0.9999833,11.000771,0.9992526,7.1982317,0
99,1,1,0.9999262,9.514206,1.0,0.9988102,6.732703,0.9994759,7.5532703,0
100,1,1,0.5528025,0.21200047,0.9999999403953552,0.99998796,11.323087,0.013447389,-4.2954316,0
101,1,1,0.9999261,9.512591,1.0000001192092896,0.99998844,11.365425,0.9991333,7.0499706,0
102,1,1,0.9999261,9.512591,0.9999999403953552,0.9999944,12.086493,0.9968765,5.765683,0
103,1,1,0.9999261,9.512591,1.0,0.99998355,11.018487,0.9980597,6.2429647,0
104,1,1,0.999926,9.51098,0.9999999403953552,0.99998736,11.27727,0.99984145,8.749651,0
105,1,1,0.9999261,9.512591,1.0000001192092896,0.9999603,10.133478,0.9992487,7.1929197,0
106,1,1,0.9999261,9.512591,1.0000001192092896,0.9999491,9.886515,0.9973832,5.9431677,0
