index,label,pred,score,logit,ssim,text_score,text_logit,image_score,image_logit
0,1,0,4.2296633e-05,-10.070761,0.730822741985321,4.2296633e-05,-10.070761,4.2296633e-05,-10.070761
1,1,0,5.637146e-05,-9.783491,0.7557893395423889,5.637146e-05,-9.783491,5.637146e-05,-9.783491
2,0,1,0.9994172,7.446933,0.629715085029602,0.9994172,7.446933,0.9994172,7.446933
3,1,0,4.9467628e-05,-9.914143,0.6717502474784851,4.9467628e-05,-9.914143,4.9467628e-05,-9.914143
4,0,1,0.92203754,2.4703586,1.0,0.92203754,2.4703586,0.92203754,2.4703586
5,0,1,0.999524,7.649568,0.7593832015991211,0.999524,7.649568,0.999524,7.649568
6,0,1,0.99195534,4.814668,1.0,0.99195534,4.814668,0.99195534,4.814668
7,1,0,0.46061125,-0.15788203,1.0,0.46061125,-0.15788203,0.46061125,-0.15788203
8,1,0,4.7738107e-05,-9.949733,0.9009529948234558,4.7738107e-05,-9.949733,4.7738107e-05,-9.949733
9,0,1,0.9997069,8.134998,0.6958486437797546,0.9997069,8.134998,0.9997069,8.134998
10,1,0,0.00027004525,-8.216651,0.540854275226593,0.00027004525,-8.216651,0.00027004525,-8.216651
11,1,0,2.744747e-05,-10.503209,0.49257373809814453,2.744747e-05,-10.503209,2.744747e-05,-10.503209
12,1,0,5.0588096e-05,-9.891744,0.7073401212692261,5.0588096e-05,-9.891744,5.0588096e-05,-9.891744
13,0,1,0.9985031,6.50283,0.5337709188461304,0.9985031,6.50283,0.9985031,6.50283
14,0,1,0.9998203,8.623972,0.5450111627578735,0.9998203,8.623972,0.9998203,8.623972
15,1,0,3.3121392e-05,-10.315298,0.5461888313293457,3.3121392e-05,-10.315298,3.3121392e-05,-10.315298
16,0,1,0.8137661,1.4746698,1.0,0.8137661,1.4746698,0.8137661,1.4746698
17,1,0,3.96336e-05,-10.135794,0.6527902483940125,3.96336e-05,-10.135794,3.96336e-05,-10.135794
18,1,0,0.012602316,-4.361192,0.6186730861663818,0.012602316,-4.361192,0.012602316,-4.361192
19,1,0,3.827555e-05,-10.170661,0.6802736520767212,3.827555e-05,-10.170661,3.827555e-05,-10.170661
20,1,0,6.864173e-05,-9.586541,0.8313393592834473,6.864173e-05,-9.586541,6.864173e-05,-9.586541
21,0,1,0.99927765,7.232209,0.7148651480674744,0.99927765,7.232209,0.99927765,7.232209
22,0,1,0.9995327,7.668003,0.7971364855766296,0.9995327,7.668003,0.9995327,7.668003
23,1,0,5.876904e-05,-9.741837,0.527893602848053,5.876904e-05,-9.741837,5.876904e-05,-9.741837
24,0,1,0.9998665,8.920857,0.6716070175170898,0.9998665,8.920857,0.9998665,8.920857
25,0,1,0.99968374,8.058545,0.9075942039489746,0.99968374,8.058545,0.99968374,8.058545
26,0,1,0.99981934,8.6186285,0.7447798252105713,0.99981934,8.6186285,0.99981934,8.6186285
27,0,1,0.99960476,7.835469,0.7079338431358337,0.99960476,7.835469,0.99960476,7.835469
28,0,1,0.9998307,8.684303,0.6280618906021118,0.9998307,8.684303,0.9998307,8.684303
29,1,0,2.4674433e-05,-10.609718,0.7746683359146118,2.4674433e-05,-10.609718,2.4674433e-05,-10.609718
30,1,0,3.3807337e-05,-10.294799,0.6379126906394958,3.3807337e-05,-10.294799,3.3807337e-05,-10.294799
31,0,1,0.96561027,3.335004,1.0,0.96561027,3.335004,0.96561027,3.335004
32,1,0,2.6350152e-05,-10.54401,0.7187358736991882,2.6350152e-05,-10.54401,2.6350152e-05,-10.54401
33,0,1,0.765944,1.1855487,1.0,0.765944,1.1855487,0.765944,1.1855487
34,1,0,5.3274976e-05,-9.839991,0.6371088624000549,5.3274976e-05,-9.839991,5.3274976e-05,-9.839991
35,1,0,0.00010135662,-9.196764,0.8247092962265015,0.00010135662,-9.196764,0.00010135662,-9.196764
36,0,1,0.96657693,3.3645139,1.0,0.96657693,3.3645139,0.96657693,3.3645139
37,1,0,2.4755487e-05,-10.606439,0.726188063621521,2.4755487e-05,-10.606439,2.4755487e-05,-10.606439
38,0,1,0.9985592,6.541088,0.6403355002403259,0.9985592,6.541088,0.9985592,6.541088
39,0,1,0.99984586,8.7775345,0.7039787769317627,0.99984586,8.7775345,0.99984586,8.7775345
40,1,0,3.408506e-05,-10.286617,0.7587723731994629,3.408506e-05,-10.286617,3.408506e-05,-10.286617
41,0,1,0.9997991,8.512392,0.7507351636886597,0.9997991,8.512392,0.9997991,8.512392
42,0,1,0.9997261,8.202519,0.6931951642036438,0.9997261,8.202519,0.9997261,8.202519
43,1,0,3.933756e-05,-10.143291,0.8320096731185913,3.933756e-05,-10.143291,3.933756e-05,-10.143291
44,1,0,3.884778e-05,-10.155821,0.6386354565620422,3.884778e-05,-10.155821,3.884778e-05,-10.155821
45,1,0,0.08160603,-2.4207232,1.0,0.08160603,-2.4207232,0.08160603,-2.4207232
